FSA,Language,Count,Year
M1B,English,40400,2011
M1B,French,345,2011
M1B,Atikamekw,0,2011
M1B,"Cree, n.o.s.",0,2011
M1B,Dene,0,2011
M1B,Innu/Montagnais,0,2011
M1B,Inuktitut,5,2011
M1B,Mi'kmaq,0,2011
M1B,Ojibway,0,2011
M1B,Oji-Cree,0,2011
M1B,Stoney,0,2011
M1B,"African languages, n.i.e.",10,2011
M1B,Afrikaans,0,2011
M1B,Akan (Twi),35,2011
M1B,Albanian,5,2011
M1B,Amharic,90,2011
M1B,Arabic,230,2011
M1B,Armenian,15,2011
M1B,"Bantu languages, n.i.e.",0,2011
M1B,Bengali,355,2011
M1B,Berber languages (Kabyle),0,2011
M1B,Bisayan languages,45,2011
M1B,Bosnian,0,2011
M1B,Bulgarian,5,2011
M1B,Burmese,0,2011
M1B,Cantonese,1410,2011
M1B,"Chinese, n.o.s.",950,2011
M1B,Creoles,50,2011
M1B,Croatian,5,2011
M1B,Czech,90,2011
M1B,Danish,0,2011
M1B,Dutch,0,2011
M1B,Estonian,0,2011
M1B,Finnish,0,2011
M1B,Flemish,0,2011
M1B,Fukien,15,2011
M1B,German,20,2011
M1B,Greek,70,2011
M1B,Gujarati,1275,2011
M1B,Hakka,30,2011
M1B,Hebrew,0,2011
M1B,Hindi,295,2011
M1B,Hungarian,25,2011
M1B,Ilocano,50,2011
M1B,"Indo-Iranian languages, n.i.e.",20,2011
M1B,Italian,90,2011
M1B,Japanese,10,2011
M1B,Khmer (Cambodian),0,2011
M1B,Korean,80,2011
M1B,Kurdish,0,2011
M1B,Lao,10,2011
M1B,Latvian,0,2011
M1B,Lingala,5,2011
M1B,Lithuanian,0,2011
M1B,Macedonian,60,2011
M1B,Malay,15,2011
M1B,Malayalam,75,2011
M1B,Maltese,5,2011
M1B,Mandarin,380,2011
M1B,Marathi,25,2011
M1B,Nepali,10,2011
M1B,"Niger-Congo languages, n.i.e.",30,2011
M1B,Norwegian,0,2011
M1B,Oromo,5,2011
M1B,Panjabi (Punjabi),745,2011
M1B,Pashto,95,2011
M1B,Persian (Farsi),395,2011
M1B,Polish,90,2011
M1B,Portuguese,70,2011
M1B,Romanian,45,2011
M1B,Rundi (Kirundi),0,2011
M1B,Russian,30,2011
M1B,Rwanda (Kinyarwanda),0,2011
M1B,"Semitic languages, n.i.e.",30,2011
M1B,Serbian,10,2011
M1B,Serbo-Croatian,0,2011
M1B,Shanghainese,10,2011
M1B,"Sign languages, n.i.e.",15,2011
M1B,Sindhi,30,2011
M1B,Sinhala (Sinhalese),50,2011
M1B,"Sino-Tibetan languages, n.i.e.",0,2011
M1B,"Slavic languages, n.i.e.",0,2011
M1B,Slovak,0,2011
M1B,Slovenian,5,2011
M1B,Somali,95,2011
M1B,Spanish,340,2011
M1B,Swahili,20,2011
M1B,Swedish,0,2011
M1B,"Tagalog (Pilipino, Filipino)",1835,2011
M1B,Taiwanese,0,2011
M1B,Tamil,7135,2011
M1B,Telugu,30,2011
M1B,Thai,0,2011
M1B,Tibetan languages,5,2011
M1B,Tigrigna,35,2011
M1B,Turkish,20,2011
M1B,Ukrainian,0,2011
M1B,Urdu,2075,2011
M1B,Vietnamese,140,2011
M1B,Yiddish,0,2011
M1C,English,27720,2011
M1C,French,110,2011
M1C,Atikamekw,0,2011
M1C,"Cree, n.o.s.",0,2011
M1C,Dene,0,2011
M1C,Innu/Montagnais,0,2011
M1C,Inuktitut,0,2011
M1C,Mi'kmaq,0,2011
M1C,Ojibway,0,2011
M1C,Oji-Cree,0,2011
M1C,Stoney,0,2011
M1C,"African languages, n.i.e.",0,2011
M1C,Afrikaans,0,2011
M1C,Akan (Twi),0,2011
M1C,Albanian,5,2011
M1C,Amharic,25,2011
M1C,Arabic,85,2011
M1C,Armenian,30,2011
M1C,"Bantu languages, n.i.e.",0,2011
M1C,Bengali,275,2011
M1C,Berber languages (Kabyle),0,2011
M1C,Bisayan languages,15,2011
M1C,Bosnian,0,2011
M1C,Bulgarian,10,2011
M1C,Burmese,0,2011
M1C,Cantonese,395,2011
M1C,"Chinese, n.o.s.",315,2011
M1C,Creoles,15,2011
M1C,Croatian,5,2011
M1C,Czech,10,2011
M1C,Danish,0,2011
M1C,Dutch,15,2011
M1C,Estonian,20,2011
M1C,Finnish,5,2011
M1C,Flemish,0,2011
M1C,Fukien,0,2011
M1C,German,40,2011
M1C,Greek,100,2011
M1C,Gujarati,125,2011
M1C,Hakka,25,2011
M1C,Hebrew,0,2011
M1C,Hindi,100,2011
M1C,Hungarian,40,2011
M1C,Ilocano,5,2011
M1C,"Indo-Iranian languages, n.i.e.",20,2011
M1C,Italian,185,2011
M1C,Japanese,20,2011
M1C,Khmer (Cambodian),5,2011
M1C,Korean,75,2011
M1C,Kurdish,0,2011
M1C,Lao,0,2011
M1C,Latvian,0,2011
M1C,Lingala,0,2011
M1C,Lithuanian,0,2011
M1C,Macedonian,165,2011
M1C,Malay,10,2011
M1C,Malayalam,65,2011
M1C,Maltese,0,2011
M1C,Mandarin,160,2011
M1C,Marathi,10,2011
M1C,Nepali,5,2011
M1C,"Niger-Congo languages, n.i.e.",0,2011
M1C,Norwegian,0,2011
M1C,Oromo,5,2011
M1C,Panjabi (Punjabi),190,2011
M1C,Pashto,30,2011
M1C,Persian (Farsi),150,2011
M1C,Polish,230,2011
M1C,Portuguese,55,2011
M1C,Romanian,80,2011
M1C,Rundi (Kirundi),0,2011
M1C,Russian,45,2011
M1C,Rwanda (Kinyarwanda),0,2011
M1C,"Semitic languages, n.i.e.",25,2011
M1C,Serbian,20,2011
M1C,Serbo-Croatian,5,2011
M1C,Shanghainese,0,2011
M1C,"Sign languages, n.i.e.",10,2011
M1C,Sindhi,0,2011
M1C,Sinhala (Sinhalese),55,2011
M1C,"Sino-Tibetan languages, n.i.e.",0,2011
M1C,"Slavic languages, n.i.e.",0,2011
M1C,Slovak,0,2011
M1C,Slovenian,0,2011
M1C,Somali,10,2011
M1C,Spanish,85,2011
M1C,Swahili,0,2011
M1C,Swedish,0,2011
M1C,"Tagalog (Pilipino, Filipino)",460,2011
M1C,Taiwanese,5,2011
M1C,Tamil,1020,2011
M1C,Telugu,15,2011
M1C,Thai,0,2011
M1C,Tibetan languages,0,2011
M1C,Tigrigna,10,2011
M1C,Turkish,10,2011
M1C,Ukrainian,20,2011
M1C,Urdu,320,2011
M1C,Vietnamese,75,2011
M1C,Yiddish,0,2011
M1G,English,16450,2011
M1G,French,160,2011
M1G,Atikamekw,0,2011
M1G,"Cree, n.o.s.",0,2011
M1G,Dene,0,2011
M1G,Innu/Montagnais,0,2011
M1G,Inuktitut,0,2011
M1G,Mi'kmaq,0,2011
M1G,Ojibway,0,2011
M1G,Oji-Cree,0,2011
M1G,Stoney,0,2011
M1G,"African languages, n.i.e.",0,2011
M1G,Afrikaans,0,2011
M1G,Akan (Twi),15,2011
M1G,Albanian,10,2011
M1G,Amharic,60,2011
M1G,Arabic,115,2011
M1G,Armenian,15,2011
M1G,"Bantu languages, n.i.e.",10,2011
M1G,Bengali,385,2011
M1G,Berber languages (Kabyle),0,2011
M1G,Bisayan languages,15,2011
M1G,Bosnian,0,2011
M1G,Bulgarian,10,2011
M1G,Burmese,5,2011
M1G,Cantonese,160,2011
M1G,"Chinese, n.o.s.",195,2011
M1G,Creoles,55,2011
M1G,Croatian,5,2011
M1G,Czech,70,2011
M1G,Danish,0,2011
M1G,Dutch,5,2011
M1G,Estonian,5,2011
M1G,Finnish,5,2011
M1G,Flemish,0,2011
M1G,Fukien,0,2011
M1G,German,40,2011
M1G,Greek,150,2011
M1G,Gujarati,2470,2011
M1G,Hakka,0,2011
M1G,Hebrew,0,2011
M1G,Hindi,365,2011
M1G,Hungarian,20,2011
M1G,Ilocano,30,2011
M1G,"Indo-Iranian languages, n.i.e.",5,2011
M1G,Italian,75,2011
M1G,Japanese,15,2011
M1G,Khmer (Cambodian),0,2011
M1G,Korean,20,2011
M1G,Kurdish,5,2011
M1G,Lao,5,2011
M1G,Latvian,10,2011
M1G,Lingala,0,2011
M1G,Lithuanian,0,2011
M1G,Macedonian,80,2011
M1G,Malay,5,2011
M1G,Malayalam,110,2011
M1G,Maltese,0,2011
M1G,Mandarin,150,2011
M1G,Marathi,30,2011
M1G,Nepali,20,2011
M1G,"Niger-Congo languages, n.i.e.",15,2011
M1G,Norwegian,0,2011
M1G,Oromo,5,2011
M1G,Panjabi (Punjabi),200,2011
M1G,Pashto,90,2011
M1G,Persian (Farsi),465,2011
M1G,Polish,105,2011
M1G,Portuguese,30,2011
M1G,Romanian,35,2011
M1G,Rundi (Kirundi),0,2011
M1G,Russian,20,2011
M1G,Rwanda (Kinyarwanda),5,2011
M1G,"Semitic languages, n.i.e.",15,2011
